"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Anfernee Simons","POR",24,62,27,35,2170.7,1306,467,1045,212,562,160,179,18,143,161,253,128,42,14,142,1919,0,0
"Cam Reddish","POR",23,40,14,26,989.6,387,139,312,45,144,64,75,18,70,88,57,47,39,14,72,690,0,0
"Chance Comanche","POR",27,1,0,1,20.8,7,3,5,0,0,1,4,2,1,3,0,0,0,1,0,14,0,0
"Damian Lillard","POR",32,58,27,31,2106.6,1866,556,1202,244,658,510,558,44,233,277,425,191,50,18,109,2849,16,2
"Drew Eubanks","POR",26,78,31,47,1583.7,518,214,334,7,18,83,125,132,286,418,103,67,40,102,169,1533,3,0
"Greg Brown III","POR",21,16,10,6,93.1,28,11,28,1,7,5,12,2,17,19,3,6,4,5,13,76,0,0
"Jabari Walker","POR",20,56,21,35,619.2,216,83,198,16,56,34,45,48,83,131,34,29,10,13,69,464,0,0
"Jeenathan Williams","POR",24,5,1,4,126.6,53,24,39,3,8,2,3,10,5,15,10,4,3,2,13,97,0,0
"Jerami Grant","POR",29,63,28,35,2245.5,1290,434,913,144,359,278,342,53,230,283,150,116,51,53,152,2051,2,0
"John Butler Jr.","POR",20,19,4,15,221.1,45,17,53,8,35,3,4,3,14,17,11,1,7,9,22,129,0,0
"Justin Minaya","POR",24,4,0,4,88.8,17,7,23,3,12,0,1,3,12,15,4,4,2,5,9,58,0,0
"Justise Winslow","POR",27,29,15,14,775.8,196,81,198,14,45,20,28,49,96,145,98,43,30,11,89,597,1,0
"Jusuf Nurkic","POR",28,52,24,28,1391.4,694,262,505,43,119,127,192,114,357,471,149,119,43,44,185,1625,18,0
"Keon Johnson","POR",21,40,13,27,416.4,189,67,178,28,81,27,41,11,33,44,59,43,19,6,43,362,0,0
"Kevin Knox II","POR",23,63,12,51,951.7,415,152,332,65,186,46,60,34,143,177,33,50,24,12,95,735,2,0
"Matisse Thybulle","POR",26,71,38,33,1200.4,293,110,253,54,148,19,28,40,100,140,53,24,83,32,113,862,0,0
